Approach,Initial,Goal,Time to Order Landmarks,Time to Generate Plan,Path Length,Path,Deceptive Cost,Deceptive Quality,Deception Score
Vanilla Pyperplan,"['(at apn1 apt1)', '(at tru1 pos11)', '(at tru2 pos21)', '(at obj11 pos11)', '(at obj12 pos12)', '(at obj13 pos13)', '(at obj21 pos21)', '(at obj22 pos21)', '(at obj23 pos21)']",['(at obj21 pos11)'],-1,0.010912895202636719,11,"[<Op (load-truck obj21 tru2 pos21)>, <Op (drive-truck tru2 pos21 apt2 cit2)>, <Op (unload-truck obj21 tru2 apt2)>, <Op (drive-truck tru1 pos11 apt1 cit1)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (load-airplane obj21 apn1 apt2)>, <Op (fly-airplane apn1 apt2 apt1)>, <Op (unload-airplane obj21 apn1 apt1)>, <Op (load-truck obj21 tru1 apt1)>, <Op (drive-truck tru1 apt1 pos11 cit1)>, <Op (unload-truck obj21 tru1 pos11)>]",11,0,0
Peta's Goal to Real Goal Approach,"['(at apn1 apt1)', '(at tru1 pos11)', '(at tru2 pos21)', '(at obj11 pos11)', '(at obj12 pos12)', '(at obj13 pos13)', '(at obj21 pos21)', '(at obj22 pos21)', '(at obj23 pos21)']",['(at obj21 pos11)'],0.2440178394317627,0.12505483627319336,19,"[<Op (load-truck obj11 tru1 pos11)>, <Op (drive-truck tru2 pos21 apt2 cit2)>, <Op (drive-truck tru1 pos11 apt1 cit1)>, <Op (unload-truck obj11 tru1 apt1)>, <Op (load-airplane obj11 apn1 apt1)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (unload-airplane obj11 apn1 apt2)>, <Op (load-truck obj11 tru2 apt2)>, <Op (drive-truck tru2 apt2 pos21 cit2)>, <Op (unload-truck obj11 tru2 pos21)>, <Op (load-truck obj21 tru2 pos21)>, <Op (drive-truck tru2 pos21 apt2 cit2)>, <Op (unload-truck obj21 tru2 apt2)>, <Op (load-airplane obj21 apn1 apt2)>, <Op (fly-airplane apn1 apt2 apt1)>, <Op (unload-airplane obj21 apn1 apt1)>, <Op (load-truck obj21 tru1 apt1)>, <Op (drive-truck tru1 apt1 pos11 cit1)>, <Op (unload-truck obj21 tru1 pos11)>]",19,0.3684210526315789,0.875
Goal to Real Goal Approach,"['(at apn1 apt1)', '(at tru1 pos11)', '(at tru2 pos21)', '(at obj11 pos11)', '(at obj12 pos12)', '(at obj13 pos13)', '(at obj21 pos21)', '(at obj22 pos21)', '(at obj23 pos21)']",['(at obj21 pos11)'],9.059906005859375e-06,0.12319374084472656,19,"[<Op (load-truck obj11 tru1 pos11)>, <Op (drive-truck tru2 pos21 apt2 cit2)>, <Op (drive-truck tru1 pos11 apt1 cit1)>, <Op (unload-truck obj11 tru1 apt1)>, <Op (load-airplane obj11 apn1 apt1)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (unload-airplane obj11 apn1 apt2)>, <Op (load-truck obj11 tru2 apt2)>, <Op (drive-truck tru2 apt2 pos21 cit2)>, <Op (unload-truck obj11 tru2 pos21)>, <Op (load-truck obj21 tru2 pos21)>, <Op (drive-truck tru2 pos21 apt2 cit2)>, <Op (unload-truck obj21 tru2 apt2)>, <Op (load-airplane obj21 apn1 apt2)>, <Op (fly-airplane apn1 apt2 apt1)>, <Op (unload-airplane obj21 apn1 apt1)>, <Op (load-truck obj21 tru1 apt1)>, <Op (drive-truck tru1 apt1 pos11 cit1)>, <Op (unload-truck obj21 tru1 pos11)>]",19,0.3684210526315789,0.875
Shared Landmark Approach,"['(at apn1 apt1)', '(at tru1 pos11)', '(at tru2 pos21)', '(at obj11 pos11)', '(at obj12 pos12)', '(at obj13 pos13)', '(at obj21 pos21)', '(at obj22 pos21)', '(at obj23 pos21)']",['(at obj21 pos11)'],0.015295028686523438,0.015956878662109375,13,"[<Op (fly-airplane apn1 apt1 apt2)>, <Op (drive-truck tru2 pos21 apt2 cit2)>, <Op (drive-truck tru1 pos11 apt1 cit1)>, <Op (drive-truck tru2 apt2 pos21 cit2)>, <Op (load-truck obj21 tru2 pos21)>, <Op (drive-truck tru2 pos21 apt2 cit2)>, <Op (unload-truck obj21 tru2 apt2)>, <Op (load-airplane obj21 apn1 apt2)>, <Op (fly-airplane apn1 apt2 apt1)>, <Op (unload-airplane obj21 apn1 apt1)>, <Op (load-truck obj21 tru1 apt1)>, <Op (drive-truck tru1 apt1 pos11 cit1)>, <Op (unload-truck obj21 tru1 pos11)>]",13,0.07692307692307693,0.5
Combined Landmarks Approach,"['(at apn1 apt1)', '(at tru1 pos11)', '(at tru2 pos21)', '(at obj11 pos11)', '(at obj12 pos12)', '(at obj13 pos13)', '(at obj21 pos21)', '(at obj22 pos21)', '(at obj23 pos21)']",['(at obj21 pos11)'],0.09275579452514648,0.018369197845458984,23,"[<Op (fly-airplane apn1 apt1 apt2)>, <Op (drive-truck tru2 pos21 apt2 cit2)>, <Op (drive-truck tru1 pos11 apt1 cit1)>, <Op (drive-truck tru1 apt1 pos11 cit1)>, <Op (load-truck obj11 tru1 pos11)>, <Op (drive-truck tru1 pos11 apt1 cit1)>, <Op (unload-truck obj11 tru1 apt1)>, <Op (fly-airplane apn1 apt2 apt1)>, <Op (load-airplane obj11 apn1 apt1)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (unload-airplane obj11 apn1 apt2)>, <Op (load-truck obj11 tru2 apt2)>, <Op (drive-truck tru2 apt2 pos21 cit2)>, <Op (unload-truck obj11 tru2 pos21)>, <Op (load-truck obj21 tru2 pos21)>, <Op (drive-truck tru2 pos21 apt2 cit2)>, <Op (unload-truck obj21 tru2 apt2)>, <Op (load-airplane obj21 apn1 apt2)>, <Op (fly-airplane apn1 apt2 apt1)>, <Op (unload-airplane obj21 apn1 apt1)>, <Op (load-truck obj21 tru1 apt1)>, <Op (drive-truck tru1 apt1 pos11 cit1)>, <Op (unload-truck obj21 tru1 pos11)>]",23,0.391304347826087,0.75
Most Common Landmarks,"['(at apn1 apt1)', '(at tru1 pos11)', '(at tru2 pos21)', '(at obj11 pos11)', '(at obj12 pos12)', '(at obj13 pos13)', '(at obj21 pos21)', '(at obj22 pos21)', '(at obj23 pos21)']",['(at obj21 pos11)'],0.026320219039916992,0.01166391372680664,13,"[<Op (fly-airplane apn1 apt1 apt2)>, <Op (drive-truck tru2 pos21 apt2 cit2)>, <Op (drive-truck tru1 pos11 apt1 cit1)>, <Op (drive-truck tru2 apt2 pos21 cit2)>, <Op (load-truck obj21 tru2 pos21)>, <Op (drive-truck tru2 pos21 apt2 cit2)>, <Op (unload-truck obj21 tru2 apt2)>, <Op (load-airplane obj21 apn1 apt2)>, <Op (fly-airplane apn1 apt2 apt1)>, <Op (unload-airplane obj21 apn1 apt1)>, <Op (load-truck obj21 tru1 apt1)>, <Op (drive-truck tru1 apt1 pos11 cit1)>, <Op (unload-truck obj21 tru1 pos11)>]",13,0.07692307692307693,0.5
Closest Centroid Approach,"['(at apn1 apt1)', '(at tru1 pos11)', '(at tru2 pos21)', '(at obj11 pos11)', '(at obj12 pos12)', '(at obj13 pos13)', '(at obj21 pos21)', '(at obj22 pos21)', '(at obj23 pos21)']",['(at obj21 pos11)'],0.00046706199645996094,0.16538214683532715,18,"[<Op (load-truck obj21 tru2 pos21)>, <Op (load-truck obj11 tru1 pos11)>, <Op (drive-truck tru2 pos21 apt2 cit2)>, <Op (unload-truck obj21 tru2 apt2)>, <Op (drive-truck tru1 pos11 apt1 cit1)>, <Op (unload-truck obj11 tru1 apt1)>, <Op (load-airplane obj11 apn1 apt1)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (load-airplane obj21 apn1 apt2)>, <Op (unload-airplane obj11 apn1 apt2)>, <Op (load-truck obj11 tru2 apt2)>, <Op (drive-truck tru2 apt2 pos21 cit2)>, <Op (unload-truck obj11 tru2 pos21)>, <Op (fly-airplane apn1 apt2 apt1)>, <Op (unload-airplane obj21 apn1 apt1)>, <Op (load-truck obj21 tru1 apt1)>, <Op (drive-truck tru1 apt1 pos11 cit1)>, <Op (unload-truck obj21 tru1 pos11)>]",18,0.3888888888888889,1.0
All but Real Centroid Approach,"['(at apn1 apt1)', '(at tru1 pos11)', '(at tru2 pos21)', '(at obj11 pos11)', '(at obj12 pos12)', '(at obj13 pos13)', '(at obj21 pos21)', '(at obj22 pos21)', '(at obj23 pos21)']",['(at obj21 pos11)'],0.0003669261932373047,1.744434118270874,28,"[<Op (load-truck obj11 tru1 pos11)>, <Op (drive-truck tru2 pos21 apt2 cit2)>, <Op (drive-truck tru1 pos11 pos13 cit1)>, <Op (load-truck obj13 tru1 pos13)>, <Op (drive-truck tru1 pos13 apt1 cit1)>, <Op (unload-truck obj13 tru1 apt1)>, <Op (load-airplane obj13 apn1 apt1)>, <Op (unload-truck obj11 tru1 apt1)>, <Op (load-airplane obj11 apn1 apt1)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (unload-airplane obj13 apn1 apt2)>, <Op (load-truck obj13 tru2 apt2)>, <Op (unload-airplane obj11 apn1 apt2)>, <Op (load-truck obj11 tru2 apt2)>, <Op (drive-truck tru2 apt2 pos21 cit2)>, <Op (unload-truck obj11 tru2 pos21)>, <Op (drive-truck tru2 pos21 pos23 cit2)>, <Op (unload-truck obj13 tru2 pos23)>, <Op (drive-truck tru2 pos23 pos21 cit2)>, <Op (load-truck obj21 tru2 pos21)>, <Op (drive-truck tru2 pos21 apt2 cit2)>, <Op (unload-truck obj21 tru2 apt2)>, <Op (load-airplane obj21 apn1 apt2)>, <Op (fly-airplane apn1 apt2 apt1)>, <Op (unload-airplane obj21 apn1 apt1)>, <Op (load-truck obj21 tru1 apt1)>, <Op (drive-truck tru1 apt1 pos11 cit1)>, <Op (unload-truck obj21 tru1 pos11)>]",28,0.5357142857142857,0.8823529411764706
Centroid Approach,"['(at apn1 apt1)', '(at tru1 pos11)', '(at tru2 pos21)', '(at obj11 pos11)', '(at obj12 pos12)', '(at obj13 pos13)', '(at obj21 pos21)', '(at obj22 pos21)', '(at obj23 pos21)']",['(at obj21 pos11)'],0.0004436969757080078,0.24744224548339844,14,"[<Op (drive-truck tru2 pos21 pos22 cit2)>, <Op (drive-truck tru1 pos11 pos12 cit1)>, <Op (drive-truck tru2 pos22 pos21 cit2)>, <Op (load-truck obj21 tru2 pos21)>, <Op (drive-truck tru2 pos21 apt2 cit2)>, <Op (unload-truck obj21 tru2 apt2)>, <Op (drive-truck tru1 pos12 apt1 cit1)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (load-airplane obj21 apn1 apt2)>, <Op (fly-airplane apn1 apt2 apt1)>, <Op (unload-airplane obj21 apn1 apt1)>, <Op (load-truck obj21 tru1 apt1)>, <Op (drive-truck tru1 apt1 pos11 cit1)>, <Op (unload-truck obj21 tru1 pos11)>]",14,0.14285714285714285,0.6666666666666666
R-Centroid Approach,"['(at apn1 apt1)', '(at tru1 pos11)', '(at tru2 pos21)', '(at obj11 pos11)', '(at obj12 pos12)', '(at obj13 pos13)', '(at obj21 pos21)', '(at obj22 pos21)', '(at obj23 pos21)']",['(at obj21 pos11)'],0.00023293495178222656,0.25614213943481445,14,"[<Op (drive-truck tru2 pos21 pos22 cit2)>, <Op (drive-truck tru1 pos11 pos12 cit1)>, <Op (drive-truck tru2 pos22 pos21 cit2)>, <Op (load-truck obj21 tru2 pos21)>, <Op (drive-truck tru2 pos21 apt2 cit2)>, <Op (unload-truck obj21 tru2 apt2)>, <Op (drive-truck tru1 pos12 apt1 cit1)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (load-airplane obj21 apn1 apt2)>, <Op (fly-airplane apn1 apt2 apt1)>, <Op (unload-airplane obj21 apn1 apt1)>, <Op (load-truck obj21 tru1 apt1)>, <Op (drive-truck tru1 apt1 pos11 cit1)>, <Op (unload-truck obj21 tru1 pos11)>]",14,0.14285714285714285,0.6666666666666666
